"Site","Duration_Years","Canopy_Pct","Urban_Pct","Ag_Pct","Forest_Pct","Wastewater_NPDES","Dam","Lat","Long","Location","Region","WatershedArea_Km2","MADischarge_m3_per_s","Width_m","WaterTemp_degC","Elevation_m","AnnualGPP_gC_per_m2","AnnualER_gC_per_m2"
"Gundagai",,0,,,,"No","Yes","-35.068108, 148.096434",,"Australia","Asia/Pacifica",17000,,47.3837716565,14.9,,45.11171875,236.5522058824
"Wagga Wagga",,0,,,,"No","Yes","-35.094969, 147.348758",,"Australia","Asia/Pacifica",28000,,65.4193027325,17,,164.751875,295.5533823529
"North St. Vrain Wide",1,,,,,,,,,"Colorado","North America",84,,8,8.4,,80.484375,195.2205882353
"North St. Vrain Narrow",1,,,,,,,,,"Colorado","North America",82,,9.4,7.7,,7.171875,77.2058823529
"Kings Creek",,31,,,,"No","No","39.088070, -96.585587",,"Kansas","North America",1.34,,0.9,13.2,,134.685,326.8575
"Kings Creek",,66,,,,"No","No","39.104486, -96.601531",,"Kansas","North America",10.6,,1.6,12.1,,121.545,274.2975
"Kings Creek",,12,,,,"No","No","39.088070, -96.585587",,"Kansas","North America",0.55,,0.7,15.6,,169.725,262.8
2,,0,,,,"No","No","37.741947, -94.335561",,"Kansas","North America",0.19,,2.6,17,,8.724375,88.213125
1,,8,,,,"No","No","37.735493, -94.334364",,"Kansas","North America",0.22,,1.66,17,,125.54140625,203.3484375
5,,54,,,,"No","No","37.747614, -94.333997",,"Kansas","North America",0.098,,0.85,17,,6.16875,61.51125
6,,60,,,,"No","No","37.747614, -94.333997",,"Kansas","North America",0.53,,2.19,17,,15.069375,68.20875
3,,20,,,,"No","No","37.745984, -94.340190",,"Kansas","North America",0.11,,0.77,17,,4.935,20.51109375
4,,68,,,,"No","No","37.745984, -94.340190",,"Kansas","North America",0.1,,1.05,17,,3.1725,10.04625
"Rock Springs Run 2",,,,,,"No","No","28.776161, -81.499249",,"Florida","North America",197.5945691906,,37,22.4,,114.0625,1542.6617647059
"Rock Springs Run 1",,,,,,"No","No","28.721002, -81.451785",,"Florida","North America",239.3934203655,,31,23,,160.828125,1169.0735294118
"Wekiva River 2",,,,,,"No","No","28.806060, -81.417187",,"Florida","North America",1086.7701305483,,120,22.4,,614.796875,1478.25
"Wekiva River 1",,,,,,"No","No","28.714286, -81.452612",,"Florida","North America",592.7837075718,,21,23.7,,241.8125,904.9852941176
"Alexander Springs Run",,,,,,"No","No","29.081821, -81.566332",,"Florida","North America",471.1870496084,,63,21.9,,646.734375,996.7720588235
"Juniper Creek",,,,,,"No","No","29.215480, -81.656874",,"Florida","North America",94.9973890339,,10.2,23.5,,651.296875,982.2794117647
"Gum Slough",,,,,,"No","No","28.697936, -82.247028",,"Florida","North America",243.6155265448,,21.8181818182,23.2,,651.8671875,1067.2224264706
"Powder",,,,,,"No","No","45'48' S, 170'25' E",,"New Zealand","Asia/Pacifica",9.9,,3.4,7.9,100,67.64,863.12
"Big",,,,,,"No","No","45'46' S, 170'22' E",,"New Zealand","Asia/Pacifica",12.8,,3.2,9.5,80,168.81,374.55
"Lee",,,,,,"No","No","45'36' S, 170'27' E",,"New Zealand","Asia/Pacifica",96.5,,3.8,9.6,340,143.95,326.25
"Three O Clock",,,,,,"No","No","45'47'S, 170°03' E",,"New Zealand","Asia/Pacifica",38.7,,6,8.9,280,420.09,434.78
