"Site","Duration_Years","Canopy_Pct","Urban_Pct","Ag_Pct","Forest_Pct","Wastewater_NPDES","Dam","Lat","Long","Location","Region","WatershedArea_Km2","MADischarge_m3_per_s","Width_m","WaterTemp_degC","Elevation_m","AnnualGPP_gC_per_m2","AnnualER_gC_per_m2"
"Ivishak Spring Creek",2,30,,,,"No","No","69.025464, -147.720297",,"Alaska","North America",24.5079771429,,2,5.8,,476.5,904
"Sutton Stream",2,0,,,,"No","No","-45.601516, 170.049633",,"New Zealand","Asia/Pacifica",8.84,,2.7,5.6,600,95.00,739.13
"Altzola  ",1,12.3,,,,"Yes","No","43.236027, -2.400784",,"Spain","Europe",462.54,,31.1,15.5,,730.00,6859.85
"Berastegi  ",1,14.5,,,,"Yes","No","43.123385, -1.981705",,"Spain","Europe",28.66,,12.2,15.2,,501.88,5941.99
"Leitzaran  ",1,19.6,,,,"Yes","No","43.202741, -2.012524",,"Spain","Europe",114.49,,22.2,13.7,,878.28,3494.34
"Oleta  ",1,48,,,,"Yes","No","43.342975, -2.506248",,"Spain","Europe",67.42,,14.4,15.2,,376.41,2753.60
"On˜ ati  ",1,35,,,,"Yes","No","43.053475, -2.432426",,"Spain","Europe",99.29,,14.5,11,,467.66,2705.29
"Elorrio  ",1,39,,,,"Yes","No","43.131294, -2.554685",,"Spain","Europe",29.36,,8.8,17.6,,467.66,2479.85
"Estanda  ",1,22,,,,"Yes","No","43.049921, -2.230127",,"Spain","Europe",54.69,,24,14.9,,467.66,2431.54
"Balmaseda  ",1,21,,,,"Yes","No","43.075046, ",-3.352905,"Spain","Europe",195.76,,23.9,15.1,,707.19,2447.65
"Aizarnazabal  ",1,51,,,,"Yes","No","43.253699, -2.243372",,"Spain","Europe",268.96,,22.7,15.3,,1254.69,2769.71
"Alegia  ",1,15,,,,"Yes","No","43.099989, -2.098463",,"Spain","Europe",329.74,,36.2,15.1,,501.88,2012.87
"Lasarte  ",1,1.1,,,,"Yes","No","43.268056, -2.023022",,"Spain","Europe",786.77,,46.4,16,,718.59,2173.90
"Herrerias  ",1,3.4,,,,"Yes","No","43.177361, -3.082457",,"Spain","Europe",254.36,,26.6,13,,353.59,1706.91
"Gardea  ",1,0,,,,"Yes","No","43.133700, -2.970765",,"Spain","Europe",329.74,,19,16.9,,752.81,2012.87
"Amorebieta  ",1,0,,,,"Yes","No","43.219004, -2.735020",,"Spain","Europe",237.18,,23.3,15.4,,319.38,1578.09
"Erenozu",1,18.2,,,,"Yes","No","43.237073, -1.934826",,"Spain","Europe",215.5,,15.8,13.5,,444.84,1481.47
"Aitzu  ",1,20,,,,"Yes","No","43.131955, -2.351250",,"Spain","Europe",59.73,,12.9,13.8,,399.22,1417.06
"Berriatua  ",1,31.7,,,,"Yes","No","43.310667, -2.465050",,"Spain","Europe",92.81,,18.7,13.9,,307.97,1062.79
"Muxika  ",1,70,,,,"Yes","No","43.291382, -2.687886",,"Spain","Europe",31.41,,9.5,15.4,,342.19,1095.00
"Oiartzun  ",1,34.5,,,,"Yes","No","43.293844, -1.857353",,"Spain","Europe",56.13,,22,15.2,,524.69,1014.49
"Sycamore Creek",,0,,,,"No","No","33.733617, -111.521566",,"Arizona","North America",505,,,17,,944.00,2250.00
"8 (Pre)",1,,,,,,,,,"North Carolina","North America",0.5,,,,,15.40,708.33
"128 (Pre)",1,,,,,,,,,"North Carolina","North America",0.5,,,,,5.13,509.86
"32 (Pre)",1,,,,,,,,,"North Carolina","North America",0.5,,,,,10.27,167.67
"Accotink Creek",,,,,,,,,,"Virginia","North America",10.33,,,,,56.11875,190.25625
"C5",,,,,,"No","No",,,"North Carolina","North America",0.075,,,12.7,,1.90,110.00
"Portneuf",8,10,,,,"No","No",42.822088,-112.40368,"Idaho","North America",3500,,22,12,,494.8206521739,3999.4987212276
"Kaps",1,37.5,,,,"No","No","0°45.9’","36°22.3’","Kenya","Africa",2.36,,2,18.65,,764.0405273438,2190.8051470588
"Bomet",1,37.5,,,,"No","No","0°50.5’","36°20.1’","Kenya","Africa",13.98,,1.85,17.7,,1587.75,2573.25
"Bondet",1,77.5,,,,"No","No","0°44.1’","36°27.2’","Kenya","Africa",2,,2.45,14.35,,18.25,814.0036764706
"Issey I",1,62.5,,,,"No","No","0°44.8’","36°32.0’","Kenya","Africa",23.2,,3.25,13.45,,122.6171875,844.5992647059
"Issey II",1,37.5,,,,"No","No","0°46’","36°30.5’","Kenya","Africa",31.98,,4.45,15.65,,92.9609375,791.4595588235
"Mosoriot",1,80,,,,"No","No","0°42.2’","36°25.4’","Kenya","Africa",4.55,,2.05,13.65,,91.25,705.3088235294
"Sara",1,72.5,,,,"No","No","0°44.7’","36°28.3’","Kenya","Africa",9.96,,1.8,14.2,,134.59375,695.6470588235
"Kaki",1,27.5,,,,"No","No","0°50.5’","36°27.6’","Kenya","Africa",6.98,,1.55,18.55,,463.5571289063,864.7279411765
"TNK",1,47.5,,,,"No","No","0°44.8’","36°22.0’","Kenya","Africa",12.7,,1.65,18.35,,242.2045898438,611.9117647059
"Little Tennessee River site 1",2,,,,,"No","No","35.090480, -83.380481",,"North Carolina","North America",370,,18.3,14.7,,142.00,523.00
"Little Tennessee River site 2 ",2,,,,,"No","No","35.122139, -83.378202",,"North Carolina","North America",390,,17.2,15,,158.00,385.00
"Little Tennessee River site 3 ",2,,,,,"No","No","35.234954, -83.395719",,"North Carolina","North America",836,,46.3,15.8,,275.00,385.00
"Little Tennessee River site 4  ",2,,,,,"No","Yes","35.258075, -83.442541",,"North Carolina","North America",1000,,40.5,16,,406.00,439.00
