"site","year","k_mean","temp","disch","depth","vel_med","vel_80th","k_med","k_80th","width","medFootprint","eightyFootprint"
"AZ_LV","2018",7.11548355712857,16.9190651831085,7.26217645684375,0.688205898201545,0.28430174831499,0.394207834704556,7.57223121650683,8.12349735106977,30.9131057601303,0.11263592203652,0.145580585923122
"AZ_MV","2018",6.98756218905521,18.048489252195,2.6588192206487,0.523761869351112,0.239809408731253,0.290151143854518,6.87633636863414,7.82355820325547,19.8023572386023,0.104623768766661,0.111260555485016
"AZ_OC","2017",22.5866257054765,13.1957067471777,2.82752596909218,0.473858422070025,0.189128564062515,0.249516861744986,20.3293369066725,23.6368633862088,22.872065540391,0.0279096998978514,0.0316687782555662
"AZ_SC","2017",9.00811623297591,16.0761603598836,1.80500449298866,0.411795700550088,0.172318078759998,0.226806841827475,5.5719668916444,10.992670441787,19.0940667967965,0.0927776934667733,0.0618976552681783
"AZ_WB","2017",23.206314455435,14.7836934713376,0.24237556637859,0.25805749530842,0.120334961215139,0.12540533526061,22.6669950950643,26.8780717191557,7.25088990099991,0.0159264552769955,0.0139971352749128
"AZ_WB","2018",26.3109125065705,15.0330055038658,0.199025921307036,0.254150493800629,0.12286190435426,0.125824601072996,26.0549591896497,33.2781193576012,6.39481090593602,0.014146470557866,0.0113430028651174
"CT_BUNN","2015",32.0482351458306,14.9523411598763,0.0915830605966044,0.18332354205002,0.0879477762540515,0.102771531502021,34.2184829759208,44.1334097429837,5.08953218050614,0.00771055014179963,0.00698596814299123
"CT_BUNN","2016",31.1796099174116,13.5656014209947,0.0737987971675925,0.165835597386813,0.0702480574559772,0.102771531502021,29.9257730275414,44.1101886054206,4.82142869336431,0.00704222985899073,0.00698964579961408
"CT_FARM","2015",1.38077486653412,16.346395525218,15.3598843251955,0.890829710261913,0.401188832204864,0.452778198507575,1.31278895239734,1.7903523910049,40.801014138381,0.916801207396442,0.75869678078309
"CT_FARM","2016",0.955614677337759,14.6006894784563,15.3032152128126,0.849253354712394,0.385789612156494,0.473586916143024,0.495705814574966,1.88528829003223,42.6855242231955,2.33478971284984,0.753603974490704
"CT_HUBB","2015",43.8477636619813,13.1734813359528,0.414411613306155,0.273231594712133,0.12521788879568,0.160098361112246,39.8671868144584,64.1544139861172,10.0491926985638,0.00942262789033321,0.00748654774464423
"CT_HUBB","2016",74.3573997150125,12.9938380864023,0.425611669042951,0.246264207552956,0.093233729467134,0.173777876825399,38.831214086898,158.564001250177,11.3642726892254,0.00720299879822134,0.00328784356074399
"CT_STIL","2015",31.4518798147312,15.752492717661,2.06318361140615,0.456555383084073,0.207874048489509,0.261737559943638,30.8195647595744,40.7916927414613,18.9495711599316,0.0202346188316885,0.0192493281611923
"CT_STIL","2016",18.7344870334581,15.8572953574998,1.25698742972038,0.379431558002809,0.15481340725914,0.242261260007551,19.7076533606759,26.0522553975867,15.9987642618633,0.0235664903008773,0.027897153967329
"CT_Unio","2015",4.42681330869415,15.110760139401,9.70904653164301,0.780161381682069,0.361625624516183,0.400173472401292,4.81298938644132,5.62816117636349,33.5617870765093,0.225406039041922,0.21330597678078
"CT_Unio","2016",2.52213543030255,13.4904373008978,10.2203649704365,0.760324998433281,0.369607832797902,0.401441444398934,2.60377352552052,3.7570055678665,35.7246086347409,0.42585251271884,0.32055431152334
"FL_ICHE2700","2017",2.71918878275563,21.9184260509497,8.0482617229471,0.754297806584003,0.351775178008059,0.359309618686281,2.84660377455444,3.19375513887663,30.3551525796388,0.370731446173734,0.33751142751601
"FL_NR1000","2016",7.22281798337031,20.105650754794,0.797221262888996,0.311774625111759,0.145597015857095,0.187645088183227,7.30458683747821,9.29196770509878,14.0600349044652,0.0597968177105113,0.0605829983934169
"FL_NR1000","2017",8.99767895075412,17.7479721146398,0.42380350006608,0.288843260856443,0.134470681039985,0.172528531483626,8.66014752942099,10.5208479068301,9.65958962256076,0.0465825832353836,0.0491961863753266
"FL_SF2500","2017",1.6450559763164,22.9800864573737,47.3473969727777,1.20329776998876,0.507332886738662,0.598559717568227,1.66928165467984,2.07795551336674,67.5556808371581,0.911768637694576,0.864156687260013
"FL_SF2800","2017",0.583560399365227,22.7453605769231,42.1023037836857,1.2233024900081,0.554832450172477,0.583240336244338,0.482575659119495,0.805766486284782,61.1002659522175,3.44919458547591,2.17149886290333
"FL_SF700","2017",12.2684079603298,20.0944372452712,0.992284491112822,0.261270993652523,0.0907926959288922,0.231748402717237,13.4848450356669,17.6878483446311,19.6201335269549,0.0201988296540484,0.0393063754621541
"FL_WS1500","2017",34.4440443649399,21.1425136045608,6.19294834547521,0.505006117174039,0.206412880575422,0.347488759581458,2.6742434801513,3.23246028901198,37.5931150211892,0.231556567800338,0.322499330397964
"MD_BARN","2016",20.0082458892933,15.04764279706,46.5276890975909,1.21045610512967,0.553708332806012,0.660544263479602,20.4812508422573,25.9993788110274,66.322812558615,0.0811046654919519,0.0762184667888417
"MD_DRKR","2016",4.34490867107898,17.3534871900651,245.235557903351,1.59816092805332,0.612954286755717,0.809194475670912,4.54244758901617,5.29491248290064,164.865552184862,0.404817628433094,0.458474702811871
"MD_GFCP","2016",4.60184456774739,19.8794149147173,2076.56114692982,3.36203156226968,1.4078993930177,1.63104460495628,4.72207371824569,5.26593237161726,360.992319146194,0.894458331459988,0.929205593532162
"MD_GFGB","2016",6.29637810468086,16.7663408949695,121.128985502,1.54420451141661,0.681424932875213,0.762381914445481,6.63148090578628,7.65758713913696,103.042367922907,0.308268217562372,0.298677076966859
