"elev_m","lat","long"
661,33.7532005310059,-111.505996704102
1284,34.8615989685059,-111.762001037598
1193,34.6792984008789,-111.694999694824
417,33.5586013793945,-111.668998718262
988,34.2560997009277,-112.06600189209
13,29.8493003845215,-82.7147979736328
40,29.8465003967285,-82.2197036743164
30,29.9979991912842,-82.2742004394531
24,29.9218997955322,-82.4262008666992
12,29.952600479126,-82.7863006591797
9,29.9118003845215,-82.8606033325195
187,36.1358985900879,-79.1587982177734
160,36.0714988708496,-79.0968017578125
104,36.0040016174316,-78.9714965820312
130,35.9925003051758,-79.0459976196289
88,35.9794998168945,-79.0018005371094
186,36.0325012207031,-79.0823974609375
381,18.3213005065918,-65.8171005249023
633,18.2754001617432,-65.7854995727539
62,41.755500793457,-72.8870010375977
51,41.9082984924316,-72.7593994140625
156,44.3656005859375,-72.0392990112305
236,41.7862014770508,-72.9647979736328
165,41.9678993225098,-73.0334014892578
198,42.0374984741211,-72.9393005371094
205,44.4352989196777,-72.0389022827148
355,44.4761009216309,-72.125
349,44.5116996765137,-71.8377990722656
268,43.1096992492676,-89.6408004760742
279,43.125,-89.6350021362305
138,41.8037986755371,-71.64990234375
130,39.4796981811523,-76.678596496582
101,39.3111991882324,-76.7165985107422
153,39.4803009033203,-76.6875
6,39.2714996337891,-76.6485977172852
163,39.4429016113281,-76.7834014892578
113,39.3459014892578,-76.7332000732422
919,34.4991989135742,-111.817001342773
-32768,68.342903137207,18.9538993835449
-32768,68.3067016601562,18.9148006439209
-32768,68.3463973999023,18.9542007446289
-32768,68.3387985229492,18.9584999084473
-32768,68.3050994873047,18.9148998260498
-32768,68.3010025024414,18.9444007873535
-32768,68.3012008666992,18.9458999633789
-32768,68.3107986450195,18.9223003387451
-32768,68.3425979614258,18.951099395752
629,18.2765007019043,-65.7858963012695
400,18.3239994049072,-65.8151016235352
237,38.9832992553711,-94.9644012451172
256,38.9636001586914,-95.1930999755859
252,38.9746017456055,-95.1460037231445
